name,stars,user_review
Filet Congelado De Pechuga De Pollo 2 kg,1,Tiene olor.
Tomate Redondo Selección 500 g,1,Estaban pasados
Costilla Premium Campo 9 Aprox 2 Kg,1,La carne tiene olor
Papas Nacionales 0.5 lb,1,Muy poco
Uva Rojas Sin Semilla Por Media Libra,1,Vinieron unas dañadas
Carne Posta Pierna 1 lb,1,"Me mandaron una pista de pierna que casi la mitad era grasa,"
Repollo Por Media Libra,1,Falto
Colita De Cuadril,1,Me cobraron sin consultar 20mil pesos más por cambio de peso en una colita de cuadril pero.... recibí DOS sin haberlas pedido.
Palta Hass  Selección 115 g,1,Más dura q una piedra!!!!
Palta Hass Chilena,1,Muy Dura
Banana Ecuador Dole,1,No me enviaron la banana
Bollo Grande Congelado Inducarne Fileteado 1 kg,1,No vino como pedi
Banana Ecuador Dole,1,Poca disponible
Palta Hass Chilena,1,No llego ni el tomate y la palta
Palta Hass Chilena,1,Palta inmadura
Guineo 2 lb,1,Los guineos son verdes no como se ven  en la imagen
Guinea 0.5 lb,1,Están aún verdes.. les falta madurar
Pera,1,Totalmente verdes las como La semana que viene
Zucchini,1,"No me lo mandaron, me mandaron pepino en lugar de Zucchini"
Plátano Maduro 1 kg,1,No venía el kilo de plátano solo un plátano
Camote 1 Lbs,1,Feos
Palta Hass Extra Chilena,1,Muy dura
Ajo,1,No vino en el pedido.
Roast Beef Fresca Al Vacío Novillo,1,carne podrida
Manzana Colegiala,1,7 de 10 manzanas vinieron podridas
Costilla Premium Campo 9 Aprox 2 Kg,1,"Mercancías estropeadas, con mal olor"
Palta Hass  Selección 115 g,1,Verdes y golpeadas
Pechuga De Pollo,1,Está dañado el producto
Zapallito Redondo Orgánico,1,Roto y aplastado
Manzana Red Elegida Gaucho,1,Manzana podrida
Naranja Ombligo Importada Egipto 1 Unidad,1,Pensé q era un kilo y era solo 1
Naranja Ombligo Importada Egipto 1 Unidad,1,"Linda por fuera, seca por dentro, sin exagerar adentro estaba blanca, ni una gota de jugo. La tuve que tirar"
Lechuga Mantecosa,1,No es un producto de buena calidad
Paleta Novillito,1,Con lavandina
Salchica Fresca Cabaña Argentina De Cerdo 350 g,1,Paquete vuno roto perdiendo liquido
Manzana Verde Premium Granny Smith 1 kg,1,Vinieron 6 de las cuales 3 estan todas golpeadas
Piernas De Pollo 4 Unidades,1,Me enviaron otro producto mix de presas de pollo y pedí 4 piernas
Cuarto Trasero De Pollo,1,El pollo estaba podrido
Pera,1,"Verde no se pueden comer duras como una piedra , se supone que si pido es para comer  y dudo que estás peras maduren"
Tapa De Asado Al Vacío Novillo Fresca,1,No recibí lo que pedí y encima me cobraron 1. 500 de más
Brocoli,1,No contiene el peso indicado
Uva Blanca en Petaca 500 g,1,vienieron muy podridas
Palta Hass Chilena,1,"Venia como piedra de duras las paltas, imposible comerlas así"
Palta Hass Chilena,1,"La palta aplasta ,molida"
Platano Verde Ud,1,Enviaron rulos yo no pedí eso
Naranja Ombligo Importada Egipto 1 Unidad,1,Horrible de sabor
Pimenton Verde Mediano 1 Unidad,1,No me llego el pimenton
Falda De Novillo,1,Pura grasa y hueso
Banano Criollo Unidad,1,Aplastados
Repollo Unidad,1,Viejo
Arandanos Pure Fresh 170 g,1,No llegó
Naranjas Barceló Valenciana 5 lb,1,Dice 5 libras y me enviaron un paquete de 4 libras y aumentó el precio después de pedido. Tengo deseo de devolver el pedido
Tomate Cherry,1,Malos
Tomate Redondo Selección 500 g,1,No llego
Palta Hass  Selección 115 g,1,Recibi una palta explotada
Banana,1,Mala calidad
Palta Hass  Selección 115 g,1,Están pasadas (visiblemente)
Carne Picada Congelada Swift 500 g,1,No llego
Pollo Entero Fresco Al Vacío Con Menudo 2.85 kg,1,Está con olor muy fuerte!! Y mancho el resto de las cosas la bolsa!
Naranja Jugo Selección 1 kg,1,una naranja vino podrida
Banana Ecuador Dole,1,Muy maduras
Tomate Redondo Selección 500 g,1,estan verdes
Piña Unidad,1,Piña llegó seca y mal estado
Churrasco De Roast Beef El Mercado,1,me falto
Palta Hass  Selección 115 g,1,No está madura
Palta Hass  Selección 115 g,1,La.pedi madura y está verde
Palta Hass  Selección 115 g,1,No está madura
Pimiento Rojo,1,"claramente fresco, no estaba"
Tuto Corto De Pollo Congelado Super Pollo 800 g,1,Me llego un pedido que no era
Palta Hass Chilena,1,Llegó toda aplastada y cortada
Carne Molida Premium 1-3% Grasa,1,Expira en 4 días
Naranja Ombligo Importada Egipto 1 Unidad,1,"Fea, muy mal olor.. No sé puede consumir"
Patitas De Pollo Fresco Al Vacio,1,Pedí 2 unidades y me enviaron 1
Manzana Verde Premium Granny Smith 1 kg,1,Todas machucadas
Mango Unidad,1,Me lo dieron maduro
Carne Molida De Bola De Res 96/4,1,Eso la carne 96/4 y me la mandaron 90/10. Es mejor que si no lo tienen no lo manden.
Banana,1,Muy madura la verdad
Albahaca Fresca 25 g,1,Mal estado
Patitas De Pollo Fresco Al Vacio,1,En mal estado con olor
Limón,1,Secos
Pollo Entero Fresco Al Vacío Con Menudo 2.85 kg,1,Pesa 2kg. Y me cobraron como 2.85
Palta Hass  Selección 115 g,1,"Estaban podridas, las tuve que tirar. Nunca me había pasado."
Palta Hass  Selección 115 g,1,Incomiblea
Lechuga Mantecosa,1,No me la dieron
Banana Ecuador,1,Mr mandaron platanos verdes. No da
Bolsa De Perejil 100 G,1,Muy viejio
Peceto Entero Al Vacío Novillo Fresco,1,Estaba muy vieja la carne y no es la marca q pedi
Palta Hass  Selección 115 g,1,Demasiado pequeña
Palta Hass  Selección 115 g,1,malisima no se recomienda
